position,scene,AE,MSE,PSNR,SSIM,LPIPS,FID
Position0,NIR,3.659977436065674,0.027891865000128746,15.545225143432617,0.6484649181365967,0.28893226385116577,1.0056669413893715e-08
Position0,NIR,3.709613084793091,0.028107689693570137,15.511749267578125,0.6481153964996338,0.29312634468078613,7.098467163354962e-06
Position0,NIR,3.634413957595825,0.027582766488194466,15.593622207641602,0.6506940126419067,0.29448676109313965,1.4156322987013414e-05
Position0,NIR,3.698780059814453,0.0280961524695158,15.513532638549805,0.6459439396858215,0.29756298661231995,5.603069600789833e-06
Position0,NIR,3.6555569171905518,0.02845749817788601,15.458032608032227,0.6474767923355103,0.29484766721725464,2.49673576841131e-06
Position0,NIR,3.6399803161621094,0.027333997189998627,15.632967948913574,0.6491118669509888,0.2945835590362549,2.1483155362317288e-05
Position0,NIR,3.713549852371216,0.028221724554896355,15.49416446685791,0.6474763751029968,0.2973427176475525,4.688323738946329e-07
Position0,NIR,3.6624252796173096,0.028012843802571297,15.52642822265625,0.6488907337188721,0.2955588698387146,1.694124121942326e-06
Position0,NIR,3.6398532390594482,0.027939436957240105,15.537823677062988,0.649141788482666,0.2926875650882721,1.211141308978935e-06
Position0,NIR,3.662666082382202,0.02780551090836525,15.558691024780273,0.6494975686073303,0.2972623109817505,1.6496015415575892e-05
Position0,NIR,3.6693904399871826,0.02877506986260414,15.409836769104004,0.6479295492172241,0.2911524474620819,8.597919997776256e-06
Position0,NIR,3.701630115509033,0.02838408574461937,15.469250679016113,0.646174430847168,0.29429852962493896,1.7838354382804407e-05
Position0,NIR,3.7411866188049316,0.02916550263762474,15.35130500793457,0.6458238959312439,0.29676908254623413,1.061502722704685e-05
Position0,NIR,3.710218906402588,0.02887272834777832,15.395121574401855,0.6462695598602295,0.2972317039966583,8.820703764108283e-06
Position0,NIR,3.7322425842285156,0.02893921732902527,15.3851318359375,0.646792471408844,0.29697540402412415,3.32239853054906e-05
Position0,NIR,3.731382369995117,0.02905697375535965,15.367496490478516,0.6459473371505737,0.29896557331085205,8.343723133362284e-06
Position0,NIR,3.6865499019622803,0.029242465272545815,15.339860916137695,0.6469975113868713,0.29450249671936035,1.0839385186975532e-05
Position0,NIR,3.6952121257781982,0.02884504199028015,15.399288177490234,0.6463853716850281,0.29477429389953613,2.871254267020583e-05
Position0,NIR,3.6369476318359375,0.028982320800423622,15.378667831420898,0.6478269100189209,0.29534977674484253,3.2281723073993365e-06
Position0,NIR,3.59233021736145,0.028960593044757843,15.381925582885742,0.6478678584098816,0.2942330539226532,3.068427733673518e-05
Position0,NIR,3.6081109046936035,0.028378034010529518,15.470176696777344,0.6487272381782532,0.29164573550224304,4.517549821992251e-05
Position0,NIR,3.6459312438964844,0.02854096330702305,15.445314407348633,0.647986888885498,0.29123905301094055,2.8052786657903513e-06
Position0,NIR,3.673438310623169,0.029223637655377388,15.342657089233398,0.6451926827430725,0.2970561981201172,1.7326609399299052e-06
Position0,NIR,3.6498773097991943,0.028641032055020332,15.430112838745117,0.6472776532173157,0.295551061630249,1.3244574637246136e-05
Position0,NIR,3.653705358505249,0.02821696177124977,15.494897842407227,0.647624135017395,0.297394722700119,2.4716456432964055e-05
Position0,NIR,3.689897298812866,0.028639694675803185,15.430316925048828,0.647412896156311,0.29577887058258057,2.5024656386092407e-05
Position0,NIR,3.656036138534546,0.027920160442590714,15.540821075439453,0.6490166783332825,0.2916991114616394,3.4852339560165722e-06
Position0,NIR,3.6730892658233643,0.028298329561948776,15.482392311096191,0.6466422080993652,0.2936563193798065,6.865157681342372e-06
Position0,NIR,3.6562066078186035,0.02813986875116825,15.506778717041016,0.648456335067749,0.29513630270957947,5.5850680084231635e-05
Position0,NIR,3.652099370956421,0.02842762880027294,15.462594032287598,0.6459751129150391,0.29397621750831604,3.6083979276311205e-05
Position0,NIR,3.6529605388641357,0.028338545933365822,15.476224899291992,0.6457771062850952,0.295536071062088,6.521502741044542e-05
Position0,NIR,3.652484893798828,0.02840198203921318,15.466513633728027,0.6451176404953003,0.2969807982444763,5.25129282473091e-05
Position0,NIR,3.6914753913879395,0.028421597555279732,15.463515281677246,0.6452978253364563,0.2943885922431946,1.4962150092119597e-06
Position0,NIR,3.707590103149414,0.029484275728464127,15.304096221923828,0.6434888243675232,0.29716217517852783,7.896432560475014e-05
Position0,NIR,3.725165605545044,0.029329843819141388,15.326902389526367,0.64342200756073,0.29695963859558105,2.659702383414359e-06
Position0,NIR,3.6947460174560547,0.02834455855190754,15.475302696228027,0.6435628533363342,0.29233020544052124,4.755256134319867e-06
Position0,NIR,3.6989879608154297,0.029332676902413368,15.326482772827148,0.6426076889038086,0.29951268434524536,4.264232103069667e-05
Position0,NIR,3.740201711654663,0.028300700709223747,15.48202896118164,0.6445498466491699,0.2972445785999298,1.870314486331244e-06
Position0,NIR,3.677001953125,0.027946684509515762,15.536697387695312,0.6453216671943665,0.29599112272262573,2.9152281849137082e-06
Position0,NIR,3.695814847946167,0.02878754213452339,15.407954216003418,0.6443077921867371,0.30203741788864136,2.9413957250397707e-05
Position0,NIR,3.742396116256714,0.0293564610183239,15.322962760925293,0.644008457660675,0.29955917596817017,4.924604108781563e-06
Position0,NIR,3.6675190925598145,0.028533004224300385,15.446525573730469,0.645396888256073,0.2965543270111084,1.004188205702087e-06
Position0,NIR,3.694523572921753,0.028895452618598938,15.391704559326172,0.6461395621299744,0.29924142360687256,1.3666514810597215e-05
Position0,NIR,3.7202515602111816,0.02851027064025402,15.449986457824707,0.6460776329040527,0.30201640725135803,1.5119867850122565e-05
Position0,NIR,3.6661689281463623,0.028247538954019547,15.490193367004395,0.6470878720283508,0.297512412071228,2.0609841852466636e-05
Position0,NIR,3.7015914916992188,0.028827756643295288,15.401891708374023,0.6456179618835449,0.2980653941631317,1.5204546900705277e-05
Position0,NIR,3.6894891262054443,0.028076834976673126,15.516518592834473,0.6473197340965271,0.2960525453090668,4.669830577563611e-05
Position0,NIR,3.6350371837615967,0.027649587020277977,15.583114624023438,0.6504155993461609,0.29476621747016907,8.152086505575692e-06
Position0,NIR,3.674916982650757,0.0275326669216156,15.601518630981445,0.6501525640487671,0.2974734604358673,5.444394876647288e-06
Position0,NIR,3.6635613441467285,0.028560122475028038,15.442399978637695,0.65010005235672,0.297471821308136,1.3455645488671952e-05
Position0,NIR,3.6534526348114014,0.02821996994316578,15.494434356689453,0.6487991213798523,0.29343995451927185,8.92065886695572e-07
Position0,NIR,3.6876657009124756,0.029108908027410507,15.3597412109375,0.6440601944923401,0.30412396788597107,1.611882883936419e-06
Position0,NIR,3.672229528427124,0.028702855110168457,15.420750617980957,0.6467408537864685,0.3033710718154907,1.364685482320091e-05
Position0,NIR,3.6718316078186035,0.027598949149250984,15.591075897216797,0.6487013101577759,0.2968599200248718,6.37070070758413e-05
Position0,NIR,3.688772678375244,0.028063245117664337,15.518622398376465,0.6476603150367737,0.3028905987739563,7.124756735497591e-05
Position0,NIR,3.6801278591156006,0.028085989877581596,15.515103340148926,0.6489502787590027,0.30179110169410706,2.7663224970574975e-05
Position0,NIR,3.7084298133850098,0.027742769569158554,15.568502426147461,0.6481658220291138,0.3000539541244507,3.1071889390776875e-05
Position0,NIR,3.7316665649414062,0.02797074429690838,15.532960891723633,0.6477197408676147,0.30386120080947876,2.1701933384249503e-05
Position0,NIR,3.6897239685058594,0.02806122787296772,15.518933296203613,0.6489394903182983,0.3055017590522766,1.1174373295191713e-05
Position0,NIR,3.725496292114258,0.027665605768561363,15.580598831176758,0.6489094495773315,0.29945793747901917,4.1651950414747525e-05
Position0,NIR,3.7100491523742676,0.028610656037926674,15.434721946716309,0.6483275890350342,0.30728092789649963,3.8498933724136295e-05
Position0,NIR,3.711261034011841,0.028177665546536446,15.50094985961914,0.6487646698951721,0.3020857572555542,3.555083765705881e-06
Position0,NIR,3.6989219188690186,0.028186805546283722,15.499542236328125,0.6493474245071411,0.29571402072906494,2.0605721461868474e-05
Position0,NIR,3.7510762214660645,0.028692707419395447,15.422286033630371,0.6488804817199707,0.2974405884742737,2.9930027796582805e-05
Position0,NIR,3.7081849575042725,0.02803310938179493,15.523286819458008,0.6518716812133789,0.2966318130493164,2.778119370860574e-07
Position0,NIR,3.732262372970581,0.028159350156784058,15.503774642944336,0.6497653126716614,0.29488611221313477,3.2614778338239166e-05
Position0,NIR,3.7121102809906006,0.028448371216654778,15.459426879882812,0.6501582264900208,0.29748356342315674,1.618148197485769e-05
Position0,NIR,3.750448703765869,0.02893977425992489,15.385049819946289,0.6491712331771851,0.2992958724498749,6.390391538030815e-05
Position0,NIR,3.7564141750335693,0.02811240404844284,15.51102066040039,0.6503381729125977,0.2942064702510834,7.811522310392435e-05
Position0,NIR,3.748422384262085,0.028272345662117004,15.486381530761719,0.6509557962417603,0.29633232951164246,4.6086184768528906e-05
Position0,NIR,3.7603867053985596,0.02806917019188404,15.517704010009766,0.6478805541992188,0.29705286026000977,1.3279223987907804e-07
Position0,NIR,3.738262176513672,0.028653094545006752,15.428284645080566,0.648240327835083,0.2967991232872009,9.970175745813072e-06
Position0,NIR,3.6825814247131348,0.029111865907907486,15.35930061340332,0.6482304930686951,0.29747524857521057,1.2428485802718457e-06
Position0,NIR,3.663742780685425,0.02857915125787258,15.439506530761719,0.6494238376617432,0.29465484619140625,2.4254184650093855e-05
Position0,NIR,3.659599781036377,0.028864996507763863,15.396285057067871,0.6496961712837219,0.2925350069999695,3.988546927291862e-05
Position0,NIR,3.649543046951294,0.02904762327671051,15.368894577026367,0.6492099761962891,0.2964833378791809,1.6670915377797746e-05
Position0,NIR,3.6282715797424316,0.028888998553156853,15.392675399780273,0.6482461094856262,0.2970920205116272,1.5509099537329256e-06
Position0,NIR,3.6016204357147217,0.028366919606924057,15.471879005432129,0.6480045318603516,0.2892519533634186,1.0558161363651095e-05
Position0,NIR,3.640305280685425,0.029812105000019073,15.256072998046875,0.6429228782653809,0.2945881485939026,5.096383016734351e-05
Position0,NIR,3.6419079303741455,0.029687773436307907,15.274224281311035,0.6447254419326782,0.29510024189949036,4.185525496015318e-05
Position0,NIR,3.625136613845825,0.02888224832713604,15.393691062927246,0.6465712785720825,0.29506534337997437,6.220999690998916e-05
Position0,NIR,3.663800001144409,0.029685651883482933,15.274534225463867,0.6446095705032349,0.29604876041412354,1.8388787069721288e-05
Position0,NIR,3.695310354232788,0.02941889502108097,15.313737869262695,0.6436756253242493,0.29620057344436646,3.844840672227647e-05
Position0,NIR,3.6721222400665283,0.029483679682016373,15.304183959960938,0.6450047492980957,0.2934547960758209,4.410207007831237e-05
Position0,NIR,3.675851583480835,0.03030369244515896,15.18504524230957,0.6411573886871338,0.30078595876693726,5.162689841336143e-05
Position0,NIR,3.6638076305389404,0.02934824675321579,15.324178695678711,0.6452488303184509,0.29875582456588745,1.7807313633636315e-05
Position0,NIR,3.6691925525665283,0.02950473129749298,15.3010835647583,0.6437300443649292,0.30028393864631653,3.6949483322877476e-05
Position0,NIR,3.6828205585479736,0.029880383983254433,15.246138572692871,0.6436635851860046,0.2998705506324768,5.511324667672665e-06
Position0,NIR,3.677727460861206,0.029321471229195595,15.328142166137695,0.6443223357200623,0.29540354013442993,8.44259109590616e-06
Position0,NIR,3.710723876953125,0.02960481122136116,15.286376953125,0.6439789533615112,0.29869720339775085,3.865561503348103e-05
Position0,NIR,3.6954002380371094,0.029875047504901886,15.246914863586426,0.6455581188201904,0.29698532819747925,6.923510245952953e-07
Position0,NIR,3.6656575202941895,0.0288707222789526,15.395423889160156,0.646375834941864,0.2911599576473236,1.024767565234539e-06
Position0,NIR,3.724687337875366,0.02970629371702671,15.271515846252441,0.6442920565605164,0.29734495282173157,9.189903459739905e-07
Position0,NIR,3.684823989868164,0.02947542816400528,15.305398941040039,0.6452224850654602,0.2970142960548401,2.4684956673004348e-06
Position0,NIR,3.7094438076019287,0.03021157905459404,15.198266983032227,0.6458241939544678,0.2946805953979492,4.356247625493309e-05
Position0,NIR,3.633329153060913,0.02948257140815258,15.304347038269043,0.648536741733551,0.2917625308036804,3.245057036651471e-05
Position0,NIR,3.6834499835968018,0.02957472763955593,15.290793418884277,0.6456760764122009,0.29647189378738403,2.5188467614916613e-05
Position0,NIR,3.6984002590179443,0.02943374775350094,15.311544418334961,0.6457298994064331,0.2960916757583618,9.957346583612178e-07
Position0,NIR,3.714832305908203,0.029212376102805138,15.344331741333008,0.6455526351928711,0.29808202385902405,2.5773293072555575e-05
Position0,NIR,3.6472299098968506,0.029613252729177475,15.285140037536621,0.6477038860321045,0.2980634570121765,1.666955429194955e-07
Position0,NIR,3.655240297317505,0.028806529939174652,15.405091285705566,0.647581934928894,0.2911134660243988,3.467653643881305e-05
Position0,NIR,3.6532485485076904,0.029443025588989258,15.310176849365234,0.648547351360321,0.2967611253261566,1.6570128534725871e-06
Position0,NIR,3.6670517921447754,0.029799887910485268,15.257853507995605,0.6465317010879517,0.2985890805721283,9.691659115730784e-07
Position0,NIR,3.659461259841919,0.028596997261047363,15.436796188354492,0.6500895023345947,0.28983229398727417,1.2103912765599068e-05
Position0,NIR,3.812445878982544,0.032309722155332565,14.906668663024902,0.5510088205337524,0.30840855836868286,3.3919129111405037e-06
Position0,NIR,3.861942768096924,0.03324372321367264,14.782903671264648,0.5125004053115845,0.31479567289352417,3.425570030078651e-05
Position0,NIR,3.9033329486846924,0.034495770931243896,14.62234115600586,0.4372548460960388,0.3206600248813629,8.673266755155132e-07
Position0,NIR,3.924215078353882,0.03787196800112724,14.216821670532227,0.40986597537994385,0.33225131034851074,1.193516579540456e-06
Position0,NIR,3.9333741664886475,0.034742552787065506,14.59138298034668,0.4542813003063202,0.31812557578086853,1.646078815629049e-05
Position0,NIR,3.785775899887085,0.02968399040400982,15.274778366088867,0.5433735251426697,0.3019810914993286,1.924863461077314e-06
Position0,NIR,3.7547852993011475,0.030411479994654655,15.169625282287598,0.6153676509857178,0.3016199469566345,2.014023348013462e-06
Position0,NIR,3.7233409881591797,0.030900679528713226,15.100320816040039,0.6152514815330505,0.2976095676422119,1.971625685347634e-05
Position0,NIR,3.7186477184295654,0.03007396124303341,15.218093872070312,0.6056727766990662,0.29510676860809326,2.731290197999052e-07
Position0,NIR,3.782609701156616,0.030927661806344986,15.096529960632324,0.5889493227005005,0.303669273853302,1.561072089274404e-06
Position0,NIR,3.7852742671966553,0.030872464179992676,15.104286193847656,0.5928293466567993,0.30113765597343445,1.1595350513753534e-05
Position0,NIR,3.729940176010132,0.02981664426624775,15.255413055419922,0.6157974600791931,0.2938050329685211,3.9050195666879076e-07
Position0,NIR,3.7872390747070312,0.03224717080593109,14.915083885192871,0.5716606974601746,0.3103526532649994,1.531785660625548e-05
Position0,NIR,3.7382466793060303,0.030853817239403725,15.106911659240723,0.6052216291427612,0.3062867522239685,4.079818954075146e-05
Position0,NIR,3.78486704826355,0.03138846158981323,15.032299995422363,0.5543175935745239,0.3066992461681366,7.4676919194554756e-06
Position0,NIR,3.68552565574646,0.029837414622306824,15.252388954162598,0.6270328164100647,0.30010491609573364,1.7499819158148244e-06
Position0,NIR,3.7232043743133545,0.02976694330573082,15.262659072875977,0.6066036224365234,0.30525103211402893,2.8539240453321485e-06
Position0,NIR,3.6326942443847656,0.028306636959314346,15.481117248535156,0.625525712966919,0.29083478450775146,2.0863033878592077e-06
Position0,NIR,3.87479567527771,0.03208145499229431,14.937459945678711,0.6173301339149475,0.30864113569259644,3.978886866092164e-05
Position0,NIR,3.78935170173645,0.036440785974264145,14.384122848510742,0.5234981179237366,0.32794249057769775,1.9483464142808216e-06
Position0,NIR,3.527421712875366,0.03560677543282509,14.484673500061035,0.6242492198944092,0.320516973733902,2.3082061355838603e-05
Position0,NIR,3.3397622108459473,0.039407774806022644,14.044181823730469,0.630673348903656,0.33025139570236206,7.892219493935843e-06
Position0,NIR,3.288297414779663,0.04261507838964462,13.704367637634277,0.6231785416603088,0.33337071537971497,4.309343696294078e-05
