position,scene,AE,MSE,PSNR,SSIM,LPIPS,FID,PSNR_2,SSIM_2
Position0,NIR,2.9405326843,0.0298058726,15.2569818497,0.6729099154,0.2921097279,9.40007157623768E-06,16.5685157776,0.7587163448
Position0,NIR,2.9480011463,0.0300781038,15.2174949646,0.6708575487,0.2945532501,1.35111622512341E-06,16.5278759003,0.7587506175
Position0,NIR,2.9151685238,0.0291412026,15.354927063,0.6742198467,0.2889569998,8.41007567942143E-06,16.6649513245,0.7607976794
Position0,NIR,2.9093074799,0.0289328024,15.3860960007,0.675347805,0.291169107,0.000006086,16.701177597,0.7601640821
Position0,NIR,2.9231114388,0.0297678132,15.2625312805,0.674687922,0.2935176194,0.00007215,16.5702285767,0.7601448894
Position0,NIR,2.8943948746,0.0286693629,15.425819397,0.6751745939,0.2853774428,5.72064891457558E-06,16.7357330322,0.7586390376
Position0,NIR,2.9187867641,0.0291221905,15.3577604294,0.674471736,0.2901536822,4.20561991631985E-06,16.6681785583,0.7596099973
Position0,NIR,2.8999066353,0.029302666,15.3309288025,0.6733077168,0.2898941636,0.000005377,16.6389255524,0.7584983706
Position0,NIR,2.8887646198,0.0291081164,15.3598594666,0.6750868559,0.2863293588,3.58836259692907E-05,16.6662559509,0.7608029246
Position0,NIR,2.9322795868,0.0296229515,15.2837171555,0.6753820777,0.2915236652,7.65779986977577E-06,16.5955467224,0.760853529
Position0,NIR,2.9173641205,0.0299872551,15.230632782,0.6751310229,0.2891868055,3.3332034945488E-06,16.5388317108,0.7609567642
Position0,NIR,2.9183237553,0.0290018581,15.3757419586,0.6753833294,0.2830410302,6.99260272085667E-06,16.6891822815,0.7605443597
Position0,NIR,2.9265334606,0.0289107263,15.3894100189,0.6765321493,0.2871041894,1.64029188454151E-05,16.7102584839,0.7604947686
Position0,NIR,2.9175000191,0.0294118933,15.3147706985,0.6743873358,0.2891797721,1.10114924609661E-05,16.6282310486,0.7584607601
Position0,NIR,2.8954017162,0.0288314465,15.4013357162,0.6743017435,0.2825553715,4.06324397772551E-05,16.7209072113,0.7577053905
Position0,NIR,2.9219167233,0.0300753713,15.2178897858,0.6731488109,0.2872391343,3.46917659044266E-08,16.5331726074,0.7573034763
Position0,NIR,2.9062950611,0.0298368074,15.2524766922,0.6724634767,0.2864005566,1.72760337591171E-07,16.5680618286,0.7565469742
Position0,NIR,2.9154925346,0.0290238466,15.3724517822,0.674061954,0.2897110581,7.02217221260071E-07,16.6886749268,0.7584697604
Position0,NIR,2.9245650768,0.02943982,15.3106489182,0.6737309694,0.286808759,1.09362881630659E-05,16.6275291443,0.7557495236
Position0,NIR,2.9129502773,0.0297062714,15.2715187073,0.6728966236,0.2872757316,3.16721852868795E-05,16.5877132416,0.7570010424
Position0,NIR,2.9099538326,0.0292290188,15.3418579102,0.6743107438,0.2871590853,1.39791518449783E-06,16.6601352692,0.7583595514
Position0,NIR,2.9064068794,0.0300376099,15.2233467102,0.6727417111,0.2882018089,2.44681723415852E-06,16.5435256958,0.755107522
Position0,NIR,2.904538393,0.0296662226,15.2773780823,0.6736989021,0.2876763344,1.27474777400494E-06,16.590921402,0.7579377294
Position0,NIR,2.9087891579,0.0300810225,15.2170743942,0.6718299389,0.2880687118,2.81748361885548E-06,16.5318317413,0.7564963698
Position0,NIR,2.8925476074,0.0295871366,15.2889709473,0.6736412644,0.2848135233,2.08383426070213E-07,16.6065616608,0.7573847175
Position0,NIR,2.9007043839,0.0291862916,15.3482112885,0.6737656593,0.284422338,1.40592455863953E-05,16.6615390778,0.7566343546
Position0,NIR,2.8831393719,0.0293222927,15.3280210495,0.6732003689,0.2853819728,1.58115290105343E-06,16.6463623047,0.7559347749
Position0,NIR,2.8896615505,0.0300389398,15.223154068,0.6728917956,0.2848151326,2.08644196391106E-05,16.5406017303,0.7568033338
Position0,NIR,2.8748085499,0.0290271547,15.3719558716,0.6733451486,0.2864878476,5.96069730818272E-06,16.6857376099,0.7554926276
Position0,NIR,2.8861534595,0.0293073878,15.3302288055,0.673466742,0.2862294614,5.62216155230999E-06,16.6475524902,0.7564327717
Position0,NIR,2.8995010853,0.0300321411,15.2241373062,0.6736956835,0.2874778509,2.52001918852329E-05,16.5406723022,0.7575017214
Position0,NIR,2.9016902447,0.0295465738,15.2949285507,0.6739783883,0.2879101336,5.52111305296421E-06,16.6110649109,0.7569052577
Position0,NIR,2.8921859264,0.029740762,15.2664794922,0.6766346097,0.2839304805,4.36091795563698E-07,16.5862693787,0.756588161
Position0,NIR,2.9036507607,0.0301879514,15.2016639709,0.6746797562,0.2881816626,3.70051711797714E-05,16.5253658295,0.7577058673
Position0,NIR,2.9025864601,0.0287371147,15.4155683517,0.6757542491,0.2850109935,5.20842149853706E-07,16.7362251282,0.7574497461
Position0,NIR,2.9010055065,0.0292869695,15.3332567215,0.6755474806,0.2873482108,9.71253030002117E-06,16.6608600616,0.7564345002
Position0,NIR,2.9000771046,0.0290800594,15.3640470505,0.6764166355,0.286598295,0.000022891,16.6884460449,0.7570320368
Position0,NIR,2.8946602345,0.0288370103,15.4004974365,0.6757648587,0.281044662,1.54783483594656E-05,16.7163200378,0.7568495274
Position0,NIR,2.9114210606,0.0287445281,15.4144477844,0.6772997975,0.2827311456,4.21749427914619E-06,16.7387657166,0.7571259737
Position0,NIR,2.9149634838,0.0291716009,15.3503980637,0.6751061678,0.290681541,1.39931216835976E-05,16.6734237671,0.7565696836
Position0,NIR,2.8991010189,0.0286459774,15.4293642044,0.6756131053,0.2824099064,7.39609822630882E-06,16.7513618469,0.7558585405
Position0,NIR,2.9797308445,0.0313596092,15.0362930298,0.5828551054,0.296687603,0.000013846,16.3390903473,0.6625465155
