position,scene,AE,MSE,PSNR,SSIM,LPIPS,FID
Position0,NIR,8.762682914733887,0.04554980248212814,13.415135383605957,0.5311782956123352,0.4666975438594818,8.585659409576611e-06
Position0,NIR,8.795611381530762,0.046328622847795486,13.341506958007812,0.5305284857749939,0.464489221572876,5.163018754550733e-07
Position0,NIR,8.829474449157715,0.04654591158032417,13.321185111999512,0.5285683274269104,0.4647787809371948,4.040147600344567e-06
Position0,NIR,8.807761192321777,0.04647887870669365,13.327444076538086,0.5295599699020386,0.462287962436676,4.55437148179404e-06
Position0,NIR,8.802549362182617,0.04660126194357872,13.316024780273438,0.5299598574638367,0.46365493535995483,1.92114746808982e-05
Position0,NIR,8.883491516113281,0.046799737960100174,13.297566413879395,0.5277961492538452,0.4689690172672272,1.6601469297500802e-05
Position0,NIR,8.982855796813965,0.047282494604587555,13.252997398376465,0.527234673500061,0.47216200828552246,3.670086432650292e-05
Position0,NIR,8.865893363952637,0.047895584255456924,13.197046279907227,0.5253089666366577,0.4692351222038269,2.2131242708536315e-06
Position0,NIR,8.9307279586792,0.0477212630212307,13.212881088256836,0.5265078544616699,0.4708349108695984,1.4827524195334084e-05
Position0,NIR,8.885812759399414,0.04710960388183594,13.268905639648438,0.5277625918388367,0.47213834524154663,1.0522829435592046e-05
Position0,NIR,8.993842124938965,0.04817142337560654,13.17210578918457,0.5257614254951477,0.47281837463378906,2.1676832190082457e-07
Position0,NIR,8.87060546875,0.04702557250857353,13.27665901184082,0.526935875415802,0.4713442027568817,1.1796914975116188e-06
Position0,NIR,8.90470027923584,0.048087891191244125,13.179643630981445,0.5232754945755005,0.4746801257133484,2.841661030022905e-05
Position0,NIR,8.986124992370605,0.04847850650548935,13.14450740814209,0.5233839154243469,0.47926968336105347,7.1469358211766025e-06
Position0,NIR,9.090567588806152,0.048518482595682144,13.140928268432617,0.5243428349494934,0.48011326789855957,4.893133406530352e-06
Position0,NIR,9.046341896057129,0.048127368092536926,13.176078796386719,0.5248448252677917,0.4789441227912903,7.835559644718028e-07
Position0,NIR,9.117988586425781,0.0485403798520565,13.138967514038086,0.5256063342094421,0.4808194637298584,2.1918959545600206e-06
Position0,NIR,8.931400299072266,0.047381240874528885,13.243936538696289,0.5265069007873535,0.47819364070892334,1.1987753500879508e-06
Position0,NIR,8.803187370300293,0.04695527255535126,13.283157348632812,0.5275989770889282,0.47656816244125366,4.113021674733222e-06
Position0,NIR,8.802706718444824,0.04687938839197159,13.290181159973145,0.5282045006752014,0.47468283772468567,5.314960282038102e-06
Position0,NIR,8.75294017791748,0.04671082645654678,13.305825233459473,0.5281803607940674,0.47187042236328125,1.2896387005144165e-05
Position0,NIR,8.86787223815918,0.047242823988199234,13.256641387939453,0.5249565839767456,0.473376989364624,5.653334552101728e-06
Position0,NIR,8.857978820800781,0.047522593289613724,13.230998992919922,0.5226382613182068,0.4720383286476135,1.3540799329921083e-05
Position0,NIR,8.88498592376709,0.046688660979270935,13.30788516998291,0.5253414511680603,0.47326764464378357,3.387421682380775e-05
Position0,NIR,8.86323070526123,0.04719885438680649,13.260686874389648,0.523742139339447,0.47166332602500916,1.9752053864098996e-05
Position0,NIR,8.82457447052002,0.046312443912029266,13.343023300170898,0.5273966789245605,0.47321173548698425,6.629355475641684e-05
Position0,NIR,8.806431770324707,0.04566694051027298,13.403982162475586,0.5279088020324707,0.4673283100128174,5.194031258687511e-06
Position0,NIR,8.75178050994873,0.04599413648247719,13.37297534942627,0.5256366729736328,0.4703788757324219,1.3296933916235026e-05
