position,scene,AE,MSE,PSNR,SSIM,LPIPS,FID
Position0,NIR,2.938422203063965,0.018953673541545868,17.223068237304688,0.66463303565979,0.34092050790786743,1.5715701952726327e-06
Position0,NIR,2.93194317817688,0.01949688047170639,17.10034942626953,0.6633409857749939,0.3393354117870331,1.8491495920583065e-06
Position0,NIR,2.9334053993225098,0.019291352480649948,17.146373748779297,0.6638903617858887,0.3392253518104553,1.4494106098730808e-06
Position0,NIR,2.935499906539917,0.019396372139453888,17.12279510498047,0.6631045937538147,0.3367021083831787,5.275341448006919e-06
Position0,NIR,2.943708896636963,0.019721748307347298,17.050546646118164,0.6636056303977966,0.33776673674583435,4.53432629763913e-06
Position0,NIR,2.95212984085083,0.019817225635051727,17.029573440551758,0.6628015041351318,0.3370164930820465,4.4508457189684075e-06
Position0,NIR,2.9448931217193604,0.01953897252678871,17.090984344482422,0.6651768684387207,0.3399635851383209,3.245316653182045e-05
Position0,NIR,2.9530560970306396,0.01964036375284195,17.068504333496094,0.6637746095657349,0.3416937589645386,5.091906805495747e-07
Position0,NIR,2.9571588039398193,0.019417772069573402,17.118005752563477,0.6665348410606384,0.33822575211524963,6.689180938116313e-06
Position0,NIR,2.9606072902679443,0.019871052354574203,17.017791748046875,0.6655054688453674,0.3389982581138611,2.29843595318034e-05
Position0,NIR,2.9777016639709473,0.02090507559478283,16.797483444213867,0.6637601256370544,0.34206250309944153,1.3789827181562558e-05
Position0,NIR,2.9557723999023438,0.020039603114128113,16.981109619140625,0.664821982383728,0.33830827474594116,7.16747905768261e-06
Position0,NIR,2.9678525924682617,0.02067018300294876,16.8465576171875,0.6644080877304077,0.34078383445739746,3.0782613807946776e-05
Position0,NIR,2.9667367935180664,0.020610544830560684,16.859106063842773,0.6639596819877625,0.34077781438827515,1.075187890582554e-06
Position0,NIR,2.942070245742798,0.020669370889663696,16.846729278564453,0.6634703874588013,0.3403860926628113,2.0593315513410277e-05
Position0,NIR,2.9570837020874023,0.02120332047343254,16.7359619140625,0.6623662114143372,0.3406979441642761,4.893759338582635e-06
Position0,NIR,2.9528539180755615,0.021251315250992775,16.72614288330078,0.6624696850776672,0.3391527831554413,9.250310801888276e-06
Position0,NIR,2.9229025840759277,0.020252136513590813,16.935293197631836,0.6647777557373047,0.3363889157772064,3.145731754499847e-06
Position0,NIR,2.9343111515045166,0.020769556984305382,16.825729370117188,0.6630277037620544,0.3378366231918335,1.1136142531455954e-05
Position0,NIR,2.9298694133758545,0.021014200523495674,16.774871826171875,0.6623862981796265,0.3410356640815735,3.833892965915886e-05
Position0,NIR,2.9141197204589844,0.020840296521782875,16.81096076965332,0.6637790203094482,0.3368622958660126,3.7578495487435287e-05
Position0,NIR,2.929992437362671,0.02115836925804615,16.74517822265625,0.660720705986023,0.33547404408454895,1.322510792885808e-05
Position0,NIR,2.9289488792419434,0.021739087998867035,16.627586364746094,0.6571362614631653,0.34095287322998047,1.2700928189039555e-05
Position0,NIR,2.9160592555999756,0.021406114101409912,16.694622039794922,0.6569607853889465,0.3394629955291748,1.3395175142353992e-05
Position0,NIR,2.931445837020874,0.021515652537345886,16.672454833984375,0.6578993201255798,0.3469722270965576,1.4681406413244967e-05
Position0,NIR,2.924865961074829,0.021076764911413193,16.761960983276367,0.6595987677574158,0.3411276340484619,5.751896787956458e-05
Position0,NIR,2.912248134613037,0.02068961039185524,16.842477798461914,0.6613844633102417,0.33904457092285156,8.223070829056073e-06
Position0,NIR,2.9360921382904053,0.02128954976797104,16.71833610534668,0.6584923267364502,0.3434383273124695,0.0001476696909466146
Position0,NIR,2.9400882720947266,0.0210132859647274,16.775060653686523,0.6578607559204102,0.3408306837081909,4.061236654160239e-05
Position0,NIR,2.9362165927886963,0.020634930580854416,16.85396957397461,0.6595226526260376,0.3389706611633301,4.245718306362988e-05
Position0,NIR,2.9518280029296875,0.021229585632681847,16.7305850982666,0.6568911075592041,0.3454782962799072,7.460705949363872e-05
Position0,NIR,2.948676347732544,0.021687529981136322,16.63789939880371,0.6545277833938599,0.34908226132392883,4.6982410610841435e-05
Position0,NIR,2.945424795150757,0.02055472508072853,16.87088394165039,0.6588953137397766,0.3462486267089844,2.966946375943056e-05
Position0,NIR,2.9634549617767334,0.020904727280139923,16.797555923461914,0.657011866569519,0.35030972957611084,6.974697936053872e-06
Position0,NIR,2.967984437942505,0.020889097824692726,16.800804138183594,0.6560445427894592,0.3482203483581543,1.2908447101730482e-06
Position0,NIR,2.949740171432495,0.020503917708992958,16.88163185119629,0.6578077673912048,0.3452078700065613,8.051445601733268e-06
Position0,NIR,2.9679958820343018,0.020869102329015732,16.804964065551758,0.6561844348907471,0.3493622839450836,2.3988425576337586e-05
Position0,NIR,2.975341558456421,0.021246440708637238,16.72713851928711,0.6537023782730103,0.3525630533695221,6.16265157298364e-05
Position0,NIR,2.9639222621917725,0.020745299756526947,16.83080291748047,0.6554030179977417,0.34748390316963196,2.467689398123144e-06
Position0,NIR,2.984837293624878,0.02080816961824894,16.81766128540039,0.65328449010849,0.3475421965122223,2.1335600628076285e-05
Position0,NIR,2.979353427886963,0.020673053339123726,16.8459529876709,0.6544039845466614,0.34906357526779175,1.3439268710521354e-06
Position0,NIR,2.972018003463745,0.019852738827466965,17.02179718017578,0.6547213792800903,0.3453524708747864,2.0979554378464105e-09
Position0,NIR,2.999864339828491,0.020860735327005386,16.806705474853516,0.6525279879570007,0.3459832966327667,4.346611414651671e-06
Position0,NIR,2.9916844367980957,0.02048432268202305,16.885784149169922,0.6517482399940491,0.3474193513393402,1.6301453121202701e-06
Position0,NIR,2.9777276515960693,0.020029297098517418,16.98334312438965,0.6556695699691772,0.34216004610061646,2.0800962893512825e-06
