position,scene,AE,MSE,PSNR,SSIM,LPIPS,FID
Position0,NIR,3.8136024475097656,0.03226929157972336,14.912105560302734,0.6106725931167603,0.36678454279899597,8.44709857103932e-06
Position0,NIR,3.82092547416687,0.03235495835542679,14.900592803955078,0.6107569336891174,0.3652035593986511,1.572709557826112e-05
Position0,NIR,3.8282992839813232,0.032419946044683456,14.891878128051758,0.6097552180290222,0.36652833223342896,2.5391399211946095e-06
Position0,NIR,3.8210015296936035,0.03230198472738266,14.907708168029785,0.608765184879303,0.36327725648880005,1.4338168684343428e-05
Position0,NIR,3.828486680984497,0.0325656533241272,14.87240219116211,0.6073858737945557,0.36611124873161316,6.464011117003014e-06
Position0,NIR,3.832080125808716,0.033000145107507706,14.814842224121094,0.6072372198104858,0.3632790744304657,2.72834965101389e-06
Position0,NIR,3.8278160095214844,0.033071428537368774,14.80547046661377,0.6067457795143127,0.36744052171707153,2.326553242355551e-06
Position0,NIR,3.836127519607544,0.032464977353811264,14.885849952697754,0.6085861325263977,0.36517202854156494,1.3593988260711225e-05
Position0,NIR,3.835099458694458,0.03305009752511978,14.808272361755371,0.6077945232391357,0.36372166872024536,5.439861554836466e-07
Position0,NIR,3.8330230712890625,0.03314756229519844,14.79548454284668,0.60856032371521,0.36604487895965576,9.085341454509455e-07
Position0,NIR,3.8407227993011475,0.033336397260427475,14.77081298828125,0.6071128845214844,0.36730366945266724,9.482878571509274e-06
Position0,NIR,3.839160919189453,0.03353431448340416,14.74510669708252,0.6063055992126465,0.36614200472831726,1.4858466581989162e-05
Position0,NIR,3.83115816116333,0.03357979655265808,14.739219665527344,0.6075071692466736,0.3663237690925598,1.094885179789935e-05
Position0,NIR,3.8399293422698975,0.03445516154170036,14.627457618713379,0.6045203804969788,0.36709359288215637,7.515721048727709e-06
Position0,NIR,3.799586534500122,0.033933334052562714,14.69373607635498,0.607623279094696,0.36448967456817627,3.340109427430295e-05
Position0,NIR,3.791588544845581,0.03449298068881035,14.622693061828613,0.6049529314041138,0.37037378549575806,5.467188811694463e-06
Position0,NIR,3.8162448406219482,0.03455658629536629,14.614691734313965,0.603348970413208,0.3677431344985962,9.477492525245771e-06
